checklist,taxonID,exemplar id,canonicalName
0,35498190,359,Madoqua saltiana saltiana
0,35498193,360,Madoqua saltiana phillipsi
0,35498192,361,Madoqua saltiana lawrancei
0,35498194,362,Madoqua saltiana swaynei
0,35492107,363,Madoqua saltiana
0,35492106,364,Madoqua piacentinii
0,35492105,366,Madoqua kirkii
0,35498187,365,Madoqua kirkii cavendishi
0,35498186,366,Madoqua kirkii kirkii
0,35498189,367,Madoqua kirkii hindei
0,35498188,368,Madoqua kirkii damarensis
0,35492104,370,Madoqua guentheri
0,35498185,369,Madoqua guentheri smithii
0,35498184,370,Madoqua guentheri guentheri
0,54947308,13973,Naemorhedus
0,35497767,371,Naemorhedus griseus
0,35498306,371,Naemorhedus griseus griseus
0,35498307,372,Naemorhedus griseus evansi
0,35492149,374,Naemorhedus goral
0,35498305,373,Naemorhedus goral bedfordi
0,35498304,374,Naemorhedus goral goral
0,35492147,375,Naemorhedus baileyi
0,35492148,376,Naemorhedus caudatus
0,54947615,13974,Nanger
0,35497757,380,Nanger granti
0,35498201,377,Nanger granti petersii
0,35498199,378,Nanger granti brighti
0,35498200,379,Nanger granti notata
0,35498198,380,Nanger granti granti
0,35492094,380,Gazella granti
0,35497756,384,Nanger dama
0,35498197,381,Nanger dama ruficollis
0,35498196,383,Nanger dama mhorr
0,35498447,382,Gazella dama mohr
0,35498195,384,Nanger dama dama
0,35492091,384,Gazella dama
0,35497758,386,Nanger soemmerringii
0,35498205,385,Nanger soemmerringii butteri
0,35498203,386,Nanger soemmerringii soemmerringii
0,35498204,387,Nanger soemmerringii berberana
0,35492099,386,Gazella soemmerringii
0,54952582,13975,Neotragus
0,35492109,390,Neotragus moschatus
0,35498207,388,Neotragus moschatus kirchenpaueri
0,35498208,389,Neotragus moschatus livingstonianus
0,35498206,390,Neotragus moschatus moschatus
0,35498209,391,Neotragus moschatus zuluensis
0,35492108,392,Neotragus batesi
0,35492110,395,Neotragus pygmaeus
0,35497778,393,Neotragus pygmaeus
0,35492190,394,Capra pygmea
0,54962417,13976,Oreamnos
0,35489825,404,Oreamnos americanus
0,35498490,396,Oreamnos americanus montanus
0,35498491,397,Oreamnos americanus sericeus
0,35498489,398,Oreamnos americanus missoulae
0,35498488,399,Oreamnos americanus lanigera
0,35498487,400,Oreamnos americanus kennedyi
0,35498486,401,Oreamnos americanus dorsatus
0,35498485,402,Oreamnos americanus columbianus
0,35498484,403,Oreamnos americanus columbiae
0,54963929,13977,Oryx
0,35497771,405,Oryx beisa
0,35498401,405,Oryx beisa beisa
0,35498402,406,Oryx beisa callotis
0,35492181,408,Oryx leucoryx
0,35497781,407,Oryx leucorix
0,35492179,409,Oryx dammah
0,54964802,13978,Ovis
0,35492153,417,Ovis ammon
0,35498314,410,Ovis ammon nigrimontana
0,35498313,411,Ovis ammon karelini
0,35498312,412,Ovis ammon hodgsonii
0,35498311,413,Ovis ammon darwini
0,35498310,414,Ovis ammon comosa
0,35498309,415,Ovis ammon collium
0,35498308,417,Ovis ammon ammon
0,35498456,416,Ovis ammon typica
0,35498315,421,Ovis ammon polii
0,35497797,418,Ovis polii
